"Variable","Statistic","Full_Sample","ISO14001_No","ISO14001_Yes","P_Value"
"sales","Mean",1,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",2,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",3,215.09403,594.30968,1.59488133699139e-25
"sales","Max",4,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",5,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",6,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",7,-13.55661,-9.617299,0.0357124491804931
"rd","Max",8,133.6687,135.684,0.0357124491804931
"releases","Mean",9,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",10,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",11,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",12,6.254692,5.208553,1.487922985421e-134
"insp","Mean",13,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",14,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",15,0,0,7.2738672869272e-311
"insp","Max",16,5,6,7.2738672869272e-311
"sales","Mean",17,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",18,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",19,215.09403,594.30968,1.59488133699139e-25
"sales","Max",20,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",21,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",22,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",23,-13.55661,-9.617299,0.0357124491804931
"rd","Max",24,133.6687,135.684,0.0357124491804931
"releases","Mean",25,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",26,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",27,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",28,6.254692,5.208553,1.487922985421e-134
"insp","Mean",29,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",30,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",31,0,0,7.2738672869272e-311
"insp","Max",32,5,6,7.2738672869272e-311
"sales","Mean",33,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",34,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",35,215.09403,594.30968,1.59488133699139e-25
"sales","Max",36,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",37,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",38,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",39,-13.55661,-9.617299,0.0357124491804931
"rd","Max",40,133.6687,135.684,0.0357124491804931
"releases","Mean",41,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",42,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",43,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",44,6.254692,5.208553,1.487922985421e-134
"insp","Mean",45,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",46,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",47,0,0,7.2738672869272e-311
"insp","Max",48,5,6,7.2738672869272e-311
"sales","Mean",49,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",50,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",51,215.09403,594.30968,1.59488133699139e-25
"sales","Max",52,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",53,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",54,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",55,-13.55661,-9.617299,0.0357124491804931
"rd","Max",56,133.6687,135.684,0.0357124491804931
"releases","Mean",57,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",58,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",59,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",60,6.254692,5.208553,1.487922985421e-134
"insp","Mean",61,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",62,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",63,0,0,7.2738672869272e-311
"insp","Max",64,5,6,7.2738672869272e-311
"sales","Mean",65,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",66,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",67,215.09403,594.30968,1.59488133699139e-25
"sales","Max",68,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",69,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",70,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",71,-13.55661,-9.617299,0.0357124491804931
"rd","Max",72,133.6687,135.684,0.0357124491804931
"releases","Mean",73,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",74,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",75,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",76,6.254692,5.208553,1.487922985421e-134
"insp","Mean",77,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",78,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",79,0,0,7.2738672869272e-311
"insp","Max",80,5,6,7.2738672869272e-311
"sales","Mean",81,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",82,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",83,215.09403,594.30968,1.59488133699139e-25
"sales","Max",84,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",85,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",86,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",87,-13.55661,-9.617299,0.0357124491804931
"rd","Max",88,133.6687,135.684,0.0357124491804931
"releases","Mean",89,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",90,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",91,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",92,6.254692,5.208553,1.487922985421e-134
"insp","Mean",93,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",94,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",95,0,0,7.2738672869272e-311
"insp","Max",96,5,6,7.2738672869272e-311
"sales","Mean",97,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",98,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",99,215.09403,594.30968,1.59488133699139e-25
"sales","Max",100,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",101,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",102,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",103,-13.55661,-9.617299,0.0357124491804931
"rd","Max",104,133.6687,135.684,0.0357124491804931
"releases","Mean",105,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",106,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",107,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",108,6.254692,5.208553,1.487922985421e-134
"insp","Mean",109,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",110,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",111,0,0,7.2738672869272e-311
"insp","Max",112,5,6,7.2738672869272e-311
"sales","Mean",113,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",114,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",115,215.09403,594.30968,1.59488133699139e-25
"sales","Max",116,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",117,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",118,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",119,-13.55661,-9.617299,0.0357124491804931
"rd","Max",120,133.6687,135.684,0.0357124491804931
"releases","Mean",121,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",122,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",123,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",124,6.254692,5.208553,1.487922985421e-134
"insp","Mean",125,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",126,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",127,0,0,7.2738672869272e-311
"insp","Max",128,5,6,7.2738672869272e-311
"sales","Mean",129,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",130,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",131,215.09403,594.30968,1.59488133699139e-25
"sales","Max",132,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",133,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",134,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",135,-13.55661,-9.617299,0.0357124491804931
"rd","Max",136,133.6687,135.684,0.0357124491804931
"releases","Mean",137,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",138,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",139,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",140,6.254692,5.208553,1.487922985421e-134
"insp","Mean",141,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",142,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",143,0,0,7.2738672869272e-311
"insp","Max",144,5,6,7.2738672869272e-311
"sales","Mean",145,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",146,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",147,215.09403,594.30968,1.59488133699139e-25
"sales","Max",148,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",149,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",150,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",151,-13.55661,-9.617299,0.0357124491804931
"rd","Max",152,133.6687,135.684,0.0357124491804931
"releases","Mean",153,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",154,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",155,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",156,6.254692,5.208553,1.487922985421e-134
"insp","Mean",157,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",158,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",159,0,0,7.2738672869272e-311
"insp","Max",160,5,6,7.2738672869272e-311
"sales","Mean",161,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",162,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",163,215.09403,594.30968,1.59488133699139e-25
"sales","Max",164,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",165,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",166,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",167,-13.55661,-9.617299,0.0357124491804931
"rd","Max",168,133.6687,135.684,0.0357124491804931
"releases","Mean",169,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",170,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",171,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",172,6.254692,5.208553,1.487922985421e-134
"insp","Mean",173,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",174,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",175,0,0,7.2738672869272e-311
"insp","Max",176,5,6,7.2738672869272e-311
"sales","Mean",177,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",178,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",179,215.09403,594.30968,1.59488133699139e-25
"sales","Max",180,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",181,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",182,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",183,-13.55661,-9.617299,0.0357124491804931
"rd","Max",184,133.6687,135.684,0.0357124491804931
"releases","Mean",185,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",186,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",187,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",188,6.254692,5.208553,1.487922985421e-134
"insp","Mean",189,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",190,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",191,0,0,7.2738672869272e-311
"insp","Max",192,5,6,7.2738672869272e-311
"sales","Mean",193,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",194,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",195,215.09403,594.30968,1.59488133699139e-25
"sales","Max",196,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",197,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",198,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",199,-13.55661,-9.617299,0.0357124491804931
"rd","Max",200,133.6687,135.684,0.0357124491804931
"releases","Mean",201,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",202,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",203,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",204,6.254692,5.208553,1.487922985421e-134
"insp","Mean",205,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",206,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",207,0,0,7.2738672869272e-311
"insp","Max",208,5,6,7.2738672869272e-311
