firm_id,year,iso14001,sales,rd,releases,insp
1,2000,0,1407.3909,46.10006,0,1
1,2001,1,1471.4619,74.28891,1.929964,1
1,2002,1,2120.7756,92.24237,1.846767,1
1,2003,1,2066.7616,52.9914,1.081073,1
1,2004,1,1602.2154,68.36999,0.4749223,1
1,2005,1,1943.7551,44.50831,1.269751,1
1,2006,1,1464.1523,41.30305,0.4042196,1
1,2007,1,1153.7689,67.73838,1.036309,1
1,2008,1,1739.1003,81.65974,2.370661,0
1,2009,1,1690.9808,36.72509,1.491677,0
2,2000,0,1222.4044,103.1972,1.682761,1
2,2001,0,1238.0446,52.44292,0.8957296,1
2,2002,0,1786.6447,72.01448,0,1
2,2003,0,999.67451,49.3144,1.491422,1
2,2004,0,1672.8355,61.04046,1.115791,1
2,2005,0,1413.0079,94.49701,0.6486695,0
2,2006,0,1676.0022,96.86945,0,0
2,2007,0,1800.9577,35.00076,1.282303,1
2,2008,0,1240.5255,51.13197,0.4650799,1
2,2009,1,1236.3088,121.3759,0,2
3,2000,0,1948.7815,60.82744,2.63744,1
3,2001,0,1490.8056,73.36168,1.090481,2
3,2002,0,1601.1418,88.73915,2.625106,2
3,2003,0,1781.5532,84.88055,2.308912,1
3,2004,0,1215.1903,5.800787,2.30491,2
3,2005,0,1776.9178,74.44846,1.289522,1
3,2006,0,1695.6211,101.9424,3.924844,1
3,2007,0,1950.3326,70.09128,2.409363,1
3,2008,0,1939.6346,48.57273,1.599066,1
3,2009,0,1521.9313,44.77704,0.9425747,1
4,2000,0,1730.0038,63.31866,1.921772,1
4,2001,0,1523.6191,78.74062,1.262913,2
4,2002,1,1624.0941,124.0337,3.270086,2
4,2003,1,1239.2856,56.59708,0.8343307,2
4,2004,1,1511.0744,76.35011,1.215959,3
4,2005,1,1038.0748,29.48911,0.3576499,2
4,2006,1,1539.8359,31.69926,0.2067912,2
4,2007,1,1973.5115,59.79691,1.299713,3
4,2008,1,1815.5898,77.06466,0.4852978,2
4,2009,1,1615.2543,64.42603,0.1644117,2
5,2000,0,1444.1865,65.50707,2.366288,1
5,2001,0,1345.3763,57.96394,0.8916482,2
5,2002,1,1306.2979,62.50815,1.594579,2
5,2003,1,1825.9142,62.38241,3.161937,2
5,2004,1,1117.9533,34.1867,1.790801,1
5,2005,1,1113.4241,31.30414,2.957517,1
5,2006,1,1852.1225,95.70926,1.30472,3
5,2007,1,1643.3386,49.96895,2.738131,2
5,2008,1,1593.6054,61.12514,1.450008,2
5,2009,1,1642.7722,90.22672,2.593909,2
6,2000,0,2108.63,65.69385,1.749694,2
6,2001,0,1524.5358,82.79503,4.123497,2
6,2002,0,1590.439,48.14372,2.873283,2
6,2003,0,2120.4142,102.3119,1.147137,2
6,2004,1,1561.0726,70.15106,0,3
6,2005,1,2096.3751,70.42689,1.552074,3
6,2006,1,948.31785,56.18687,0.7850627,3
6,2007,1,1229.2094,77.59295,2.619485,3
6,2008,1,1377.6974,68.50157,1.295774,3
6,2009,1,1759.3183,3.646117,0.8008699,3
7,2000,0,2036.7385,61.40662,1.838952,0
7,2001,0,1325.4118,69.69369,1.483841,2
7,2002,0,1798.2461,48.61832,2.880777,1
7,2003,0,2178.2404,61.70552,1.697862,1
7,2004,1,2051.839,62.75821,0.8958504,3
7,2005,1,1455.9156,96.45869,0.7024226,3
7,2006,1,1839.0345,80.34657,1.453941,3
7,2007,1,1682.2672,73.40355,0.2649737,2
7,2008,1,1382.0965,40.50524,0.8505813,3
7,2009,1,1704.9877,53.35607,0.003559,3
8,2000,0,1359.981,80.60503,1.336171,4
8,2001,0,1540.1709,78.60382,2.569407,4
8,2002,0,1087.9389,32.46896,1.036797,4
8,2003,0,975.20376,87.74017,1.095016,5
8,2004,0,1421.4279,47.00143,2.731955,4
8,2005,0,1599.1108,73.15727,1.97209,4
8,2006,0,1168.8054,116.3582,2.579901,5
8,2007,0,1662.948,58.26192,1.03537,3
8,2008,0,1517.4581,68.52525,1.966601,4
8,2009,0,1696.744,55.79163,2.972052,4
9,2000,0,1791.0312,71.41539,3.597189,0
9,2001,1,1983.3056,98.33559,3.429085,1
9,2002,1,1757.7816,63.68695,3.940786,1
9,2003,1,1492.1841,59.0357,3.890883,0
9,2004,1,1635.4829,88.42583,3.567397,1
9,2005,1,2278.8767,47.52415,1.578023,1
9,2006,1,1876.1194,70.42355,2.031014,1
9,2007,1,1603.892,51.48504,2.075887,2
9,2008,1,1532.585,60.56629,1.536839,1
9,2009,1,1401.6717,46.26979,1.323418,0
10,2000,0,1151.497,32.93872,1.738403,1
10,2001,0,2022.475,26.05475,0,1
10,2002,0,1650.6488,57.45202,2.480036,1
10,2003,0,1125.0666,65.80963,0.2078985,1
10,2004,0,1467.9485,80.94428,1.138923,2
10,2005,0,1889.2507,42.18312,3.196069,1
