unihhid,period,cluster_code,children017,hhsize,foodexp,nfoodexp,healthexp,eduexp,hheduc,assign,cgp,remit_amount,cellphone,hungry_adults,hungry_kids
601,Baseline,237,2,6,495.3572,16.66667,0,0,7,1,0,0,1,1,1
1301,Baseline,237,2,5,1990.119,63,0,0,2,1,0,0,0,1,1
1401,Baseline,237,2,4,304.1667,2.666667,0,0,3,1,0,0,0,1,1
2201,Baseline,247,2,3,347.619,531.6667,50,0,5,1,0,0,0,1,1
2301,Baseline,247,3,6,408.4524,65.66666,31.25,92.66666,0,1,0,0,0,1,0
2401,Baseline,247,1,3,195.5357,178.3333,0,16.66667,1,1,0,0,0,1,1
2501,Baseline,247,2,4,482.3214,110.6667,15.83333,20.33333,3,1,0,0,0,1,1
2601,Baseline,247,3,5,648.3094,344.6667,0,0,0,1,0,0,0,1,0
2901,Baseline,57,1,3,238.9881,503.3333,0,10,0,1,0,0,1,0,0
3401,Baseline,57,2,3,378.0357,83,0,0,5,1,0,0,0,1,1
3501,Baseline,55,2,5,147.7381,34,4.166667,0,7,1,0,0,1,1,1
3601,Baseline,55,2,4,469.2857,167,8.333333,0,0,1,0,6,1,1,1
3801,Baseline,57,1,2,945.8135,23,0,0,6,1,0,0,0,1,1
4001,Baseline,55,1,2,276.4881,104.6667,0,6.666667,0,1,0,0,0,1,1
4101,Baseline,55,3,6,243.3333,240.6667,0.5,16.66667,10,1,0,0,1,0,0
4701,Baseline,55,3,5,195.5357,8,20.41667,7.333333,3,1,0,0,0,1,1
4901,Baseline,57,2,4,330.2381,86.00001,6.666667,0,7,1,0,0,1,1,1
5001,Baseline,55,6,12,451.9048,5.333333,22.5,13.33333,0,1,0,0,0,1,0
5101,Baseline,55,1,3,282.4405,5.666667,0,6.666667,0,1,0,0,1,0,0
5301,Baseline,55,2,5,378.0357,16,6.666667,10,0,1,0,0,1,1,1
5401,Baseline,55,4,6,186.8453,12.16667,0,15,4,1,0,0,1,0,0
5501,Baseline,55,2,4,538.8095,17.66667,0,33.33333,0,1,0,0,0,1,1
5601,Baseline,57,1,6,256.369,2,0,1.333333,3,1,0,0,1,1,1
5701,Baseline,247,2,4,238.9881,101.6667,0,83.33334,0,1,0,0,0,1,1
5801,Baseline,247,5,7,299.8214,103.3333,0,183.3333,0,1,0,0,0,1,1
6001,Baseline,247,1,3,208.5714,203,0,0,0,1,0,0,0,1,0
6101,Baseline,247,3,6,217.2619,358.3333,0.8333333,0,0,1,0,0,0,1,0
6801,Baseline,36,2,3,317.2024,129,0,11.66667,2,1,0,0,0,1,1
6909,Baseline,36,6,9,903.8096,96.66667,16.66667,186,0,1,0,0,1,1,0
7101,Baseline,36,2,6,469.2857,53.33334,10.41667,0,7,1,0,1,0,0,0
7301,Baseline,36,2,4,430.1786,92.00001,0,66.33334,5,1,0,0,0,1,1
7409,Baseline,36,2,3,362.586,84,0,33,12,1,0,0,0,1,1
7501,Baseline,36,2,4,786.488,408.3333,41.66667,0,0,1,0,96,1,0,0
7701,Baseline,36,3,4,108.631,33,0,44.19048,2,1,0,0,0,1,1
8101,Baseline,36,5,9,779.5357,265.3333,2.916667,1.666667,6,1,0,0,1,0,0
8509,Baseline,36,1,2,547.1379,123.3333,0,26.66667,4,1,0,0,1,1,1
8801,Baseline,36,3,6,451.9048,78.66666,0.4166667,13.33333,7,1,0,0,0,1,1
9109,Baseline,36,1,3,351.9643,15,0,0,0,1,0,10,0,1,1
9201,Baseline,36,4,7,929.8809,59,2.5,16.33333,3,1,0,0,0,0,0
9301,Baseline,36,4,6,495.3572,238.3333,24.16667,3.333333,5,1,0,0,0,1,0
9401,Baseline,36,3,7,391.0714,116.3333,121.6667,33.33333,5,1,0,0,1,0,0
