year,hhid,cropsystem,farmsize,fworkers,olandvalue,ownland,extvisits,educhead,educspouse,agehead,agespouse,hhavgeduc,lithead,malehead,literacy,hhsize,remmit,distance,comm,avghrsperwker,region1,region2,region3,region4,allagrtechs,seedtechs,seedfertechs,purchtechs,soilwatechs,stotoff_remit,slandvalue,sfarmrev,swageincome,snowageincome,totalland,propownland,fertilizer,urban,drought,_merge
0,1021001109,1,0.202429146,3.900000095,0,0,0,0,1,36,40,0.333333343,0,0,1,12,0.289262235,5,10210011,14.83833313,1,0,0,0,1,0,0,0,1,543.2081909,0,36.21621704,0,542.9189453,0.404858291,0,0,1,0,3
1,1021001109,1,0.279352218,3.900000095,35394.05273,1.82186234,0,0,0,40,40,4,1,0,10,12,1585.653564,1,10210011,101,1,0,0,0,1,1,1,1,1,9004.24707,35394.05469,1415.762207,0,7418.59375,1.82186234,1,0,1,0,3
0,1021002610,1,0.141700402,1.75,21621.62109,0.35627529,0,6,0,67,67,5.666666508,1,0,1,10,0.58436811,8,10210026,56.03499985,1,0,0,0,1,0,0,0,1,3243.827637,21621.62109,17.29729652,0,3243.243164,0.372469634,0.95652169,0,1,0,3
1,1021002610,1,0.303643703,1.75,1887.682861,0.346153855,0,0,0,71,70,10,1,0,9,9,1226.993896,0.300000012,10210026,85.75,1,0,0,0,1,0,0,0,1,2548.37207,1887.682861,1000.471924,0,1321.378052,0.548583031,0.630996287,0,1,0,3
0,1021002810,0,0.91093117,3.5,0,0,0,7,0,33,33,5.5,1,0,2,9,0.004674945,6,10210028,100.7649994,1,0,0,0,1,0,0,0,1,203.2479248,0,2.702702761,0,203.2432556,0.91093117,0,0,1,0,3
1,1021002810,1,0.131578952,3.5,943.8414307,2.631578922,0,9,0,37,37,9.399999619,1,0,9,10,0,0.050000001,10210028,26,1,0,0,0,1,1,1,1,0,54.27088547,943.8414307,852.2102051,11.79801846,42.47286606,2.631578922,1,0,1,0,3
0,1033000301,1,0.759109318,1.5,270.270813,2.024291515,0,0,0,25,25,0,0,1,0,4,0,30,10330003,82.02999878,1,0,0,0,1,0,0,0,1,0,270.270813,94.59459686,0,0,2.024291515,1,0,0,0,3
1,1033000301,0,0.708502054,1.5,943.8414307,1.214574933,0,6,1,29,18,6.599999905,0,1,1,9,0,0.25,10330003,12.5,1,0,0,0,1,0,0,1,0,151.0146332,943.8414307,575.7432861,0,151.0146332,1.214574933,1,0,0,1,3
0,1033000302,1,4.251012325,2,1081.082458,5.91093111,0,6,1,27,24,5.5,1,1,1,5,0,30,10330003,317.0499878,1,0,0,0,1,0,0,0,1,335.1351318,1081.08252,1259.279297,0,335.1351318,10.76923084,0.548872173,0,0,1,3
1,1033000302,0,0.481781363,2,943.8414307,0.997975647,0,3,0,31,58,4,1,0,2,11,0,11.19999981,10330003,337.5,1,0,0,0,1,0,0,1,1,222.2746582,943.8414307,1904.200073,0,222.2746582,0.997975647,1,0,0,0,3
0,1033000303,1,0.809716582,1.399999976,189.1902771,1.797570825,0,4,1,33,45,5,1,1,2,5,0,30,10330003,123.1050034,1,0,0,0,1,0,0,0,1,0,189.1902771,45.94594574,0,0,1.797570825,1,0,0,0,3
1,1033000303,1,0.708502054,1.399999976,0,0,0,31,0,37,48,31,1,0,6,6,0,0.800000012,10330003,113.5,1,0,0,0,0,0,0,0,0,117.9801788,0,691.3638306,0,117.9801788,0.708502054,0,0,0,1,3
0,1033000304,0,0.253036439,1.833333254,32.43297195,1.803643703,0,0,0,65,65,3,0,0,1,11,0,30,10330003,62.00500107,1,0,0,0,1,0,0,0,1,0,32.43297195,37.83783722,0,0,1.803643703,1,0,0,0,3
1,1033000304,1,0.91093117,1.833333254,1415.762207,2.040485859,0,0,0,69,63,0,0,0,10,11,0,140,10330003,113.1777878,1,0,0,0,1,0,0,0,1,371.8735352,1415.762207,94.38414001,93.44029999,278.4332275,3.358299732,0.607594907,0,0,1,3
0,1033000305,1,1.315789461,1.666666627,162.1632385,0.550607264,0,0,1,38,20,2.5,0,1,0,4,0,30,10330003,108.5,1,0,0,0,1,0,0,0,1,4.324324131,162.1632385,42.16216278,4.324324131,0,2.072874546,0.26562497,0,0,0,3
1,1033000305,1,1.740890741,1.666666627,1321.378021,0.724696338,0,0,0,42,25,0,0,1,0,5,0,7,10330003,94,1,0,0,0,1,1,1,1,1,226.5219421,1321.378052,22.65219498,0,226.5219421,1.740890741,0.416279048,0,0,1,3
0,1033000307,1,2.570850134,0.899999976,540.5410767,3.625505924,1,3,1,34,30,3,1,1,2,4,0,30,10330003,215.2250061,1,0,0,0,1,0,0,0,1,367.5675659,540.5410767,184.9549561,0,367.5675659,3.625505924,1,0,0,0,3
1,1033000307,1,0.202429146,0.899999976,0,0,0,0,0,38,30,0,1,1,4,6,47.19207001,9,10330003,167.5,1,0,0,0,1,0,0,1,0,482.7749023,0,575.7432861,0,435.5828247,4.858299732,0,0,0,1,3
0,1033000308,1,0.809716582,2.875,0,0,0,7,1,35,38,5,1,1,3,5,0.030971512,30,10330003,190.5100098,1,0,0,0,0,0,0,0,0,868.1390381,0,72.16216278,0,868.1080933,0.809716582,0,0,0,0,3
1,1033000308,1,1.82186234,2.875,330.3445129,0.087044537,0,3,1,39,44,3.666666746,0,0,2,3,0,3.5,10330003,102,1,0,0,0,1,1,1,1,1,2068.192627,330.3445129,2111.451904,53.09107971,2015.101563,1.82186234,0.047777779,0,0,1,3
