co_name,herf,release,empl,fac,fg,insp_fac,strictbar,lawbar,spendbar,educbar,pstatus
ABBOTT LABORATORIES,0.2958034,2.898869,40.929,4,0,1.25,0.3333333,2.177786,1.126667,18.63333,0
ABBOTT LABORATORIES,0.3084845,2.895957,43.77,4,0,1.75,0.3333333,2.177786,1.126667,18.63333,0
ABBOTT LABORATORIES,0.2957712,2.675182,45.694,4,0,1,0.3333333,2.177786,1.126667,18.63333,0
ABBOTT LABORATORIES,0.2624353,2.357926,48.118,4,0,0.5,0.3333333,2.177786,1.126667,18.63333,1
ABBOTT LABORATORIES,0.2480811,1.647738,49.659,4,0,0.75,0.3333333,2.177786,1.126667,18.63333,1
ABBOTT LABORATORIES,0.257621,1.771804,49.464,3,0,1.333333,0.3333333,2.177786,1.126667,18.63333,1
ABBOTT LABORATORIES,0.2498261,1.383295,50.241,3,0,1,0.3333333,2.177786,1.126667,18.63333,1
ADC TELECOMMUNICATIONS INC,0.4645282,0.060074,1.896,2,1,0,0,1.832893,0.5,14.8,0
ADC TELECOMMUNICATIONS INC,0.4772724,0.066812,2.111,2,1,0,0,1.832893,0.5,14.8,0
ADC TELECOMMUNICATIONS INC,0.5042985,0.020306,2.428,2,1,0,0,1.832893,0.5,14.8,0
ADC TELECOMMUNICATIONS INC,0.4506418,0.01781,2.462,2,1,0,0,1.832893,0.5,14.8,0
ADC TELECOMMUNICATIONS INC,0.4563253,0.020998,2.644,2,1,0,0,1.832893,0.5,14.8,0
ADC TELECOMMUNICATIONS INC,0.3447736,0.017908,2.984,2,1,0,0,1.832893,0.5,14.8,0
ADC TELECOMMUNICATIONS INC,0.3280428,0.017424,4.62,2,1,0,0,1.832893,0.5,14.8,0
ADC TELECOMMUNICATIONS INC,0.2929079,0.011902,5.924,2,1,0,0,1.832893,0.5,14.8,0
ADC TELECOMMUNICATIONS INC,0.2845238,0.01111,8.032,2,1,0,0,1.832893,0.5,14.8,0
ADVANCED MICRO DEVICES,0.4645282,0.0765,13.072,1,1,0,1,2.676835,0.68,20.4,0
ADVANCED MICRO DEVICES,0.4772724,0.0812,11.997,1,1,0,1,2.676835,0.68,20.4,0
ADVANCED MICRO DEVICES,0.5042985,0.0745,11.254,1,1,0,1,2.676835,0.68,20.4,0
ADVANCED MICRO DEVICES,0.5111452,0.058,11.554,1,1,0,1,2.676835,0.68,20.4,0
ADVANCED MICRO DEVICES,0.4506418,0.064,12.06,1,1,0,1,2.676835,0.68,20.4,0
ADVANCED MICRO DEVICES,0.4563253,0.00075,11.793,1,1,0,1,2.676835,0.68,20.4,0
AIR PRODUCTS & CHEMICALS INC,0.2958034,0.15132,14.1,9,0,0.3333333,0.875,2.978103,1.34,20.3375,0
AIR PRODUCTS & CHEMICALS INC,0.3084845,0.131388,14,8,0,0.375,0.875,2.978103,1.34,20.3375,0
AIR PRODUCTS & CHEMICALS INC,0.2957712,0.13855,14.6,8,0,0.375,0.875,2.978103,1.34,20.3375,0
AIR PRODUCTS & CHEMICALS INC,0.2624353,0.071262,14.5,8,0,0.375,0.875,2.978103,1.34,20.3375,1
AIR PRODUCTS & CHEMICALS INC,0.2480811,0.068057,14.075,8,0,0.125,0.875,2.978103,1.34,20.3375,1
AIR PRODUCTS & CHEMICALS INC,0.257621,0.094554,13.3,5,0,0.6,0.875,2.978103,1.34,20.3375,1
AIR PRODUCTS & CHEMICALS INC,0.2498261,0.062549,14.8,6,0,0.5,0.875,2.978103,1.34,20.3375,1
ALZA CORP,0.2958034,0.000816,0.65,1,0,0,1,3.530346,2.26,23.4,0
ALZA CORP,0.3084845,0.03194,0.683,2,0,0,1,3.530346,2.26,23.4,0
ALZA CORP,0.2957712,0.05285,0.838,2,0,0,1,3.530346,2.26,23.4,0
ALZA CORP,0.2624353,0.0203,1.071,1,0,0,1,3.530346,2.26,23.4,0
ALZA CORP,0.2480811,0.041282,1.078,2,0,0,1,3.530346,2.26,23.4,0
ALZA CORP,0.257621,0.079758,1.288,2,0,0,1,3.530346,2.26,23.4,0
ALZA CORP,0.2498261,0.01044,1.444,1,0,0,1,3.530346,2.26,23.4,0
AMERICAN STANDARD COS INC,0.4010057,0.71859,33.3,12,1,0.5,0.7777778,2.307423,0.9377778,17.41111,0
AMERICAN STANDARD COS INC,0.4317064,0.469393,32.9,9,1,0.5555556,0.7777778,2.307423,0.9377778,17.41111,0
AMERICAN STANDARD COS INC,0.4661651,0.391769,32,9,1,0.4444444,0.7777778,2.307423,0.9377778,17.41111,0
AMERICAN STANDARD COS INC,0.5013952,0.389738,33.5,10,1,0.5,0.7777778,2.307423,0.9377778,17.41111,1
AMERICAN STANDARD COS INC,0.5022098,0.282203,36,8,1,0.375,0.7777778,2.307423,0.9377778,17.41111,1
AMERICAN STANDARD COS INC,0.5091329,0.29431,38,8,1,0.375,0.7777778,2.307423,0.9377778,17.41111,1
AMERICAN STANDARD COS INC,0.3766557,0.064498,43,6,1,0.3333333,0.7777778,2.307423,0.9377778,17.41111,1
AMOCO CORP,0.5510783,0.205438,53.653,2,1,1,0.5,2.471721,1.27,18.95,0
AMOCO CORP,0.5199822,0.128402,54.524,2,1,1.5,0.5,2.471721,1.27,18.95,0
AMOCO CORP,0.5258418,0.087222,54.12,2,1,1,0.5,2.471721,1.27,18.95,0
AMOCO CORP,0.5304077,0.01352,46.994,2,1,1.5,0.5,2.471721,1.27,18.95,1
AMOCO CORP,0.5273799,0.00122,46.317,3,1,0.6666667,0.5,2.471721,1.27,18.95,1
AMOCO CORP,0.5059202,0.001063,43.205,4,1,1.75,0.5,2.471721,1.27,18.95,1
AMOCO CORP,0.5056727,0.00026,42.689,1,1,1,0.5,2.471721,1.27,18.95,1
AMP INC,0.4645282,0.420391,24.4,7,1,0,0.8571429,3.637287,1.404286,22.52857,0
AMP INC,0.4772724,0.378913,24.7,7,1,0,0.8571429,3.637287,1.404286,22.52857,0
AMP INC,0.5042985,0.203546,25,7,1,0.1428571,0.8571429,3.637287,1.404286,22.52857,0
AMP INC,0.5111452,0.115104,25.1,3,1,0,0.8571429,3.637287,1.404286,22.52857,1
AMP INC,0.4506418,0.05047,26.9,2,1,0.5,0.8571429,3.637287,1.404286,22.52857,1
AMP INC,0.4563253,0.025994,30.4,1,1,0,0.8571429,3.637287,1.404286,22.52857,1
AMP INC,0.3447736,0.019069,40.8,1,1,1,0.8571429,3.637287,1.404286,22.52857,1
AMP INC,0.3280428,0.025303,44.985,2,1,0,0.8571429,3.637287,1.404286,22.52857,1
AMP INC,0.2929079,0.007379,46.526,2,1,0,0.8571429,3.637287,1.404286,22.52857,1
ANDREW CORP,0.3295921,0.3498,2.87,4,0,0,1,3.12257,1.53,20.75,0
ANDREW CORP,0.3336366,0.232728,3.2,4,0,0.25,1,3.12257,1.53,20.75,0
ANDREW CORP,0.3314882,0.06689,3.37,4,0,0,1,3.12257,1.53,20.75,0
ANDREW CORP,0.3142032,0.034072,3.345,2,0,0,1,3.12257,1.53,20.75,0
APPLE COMPUTER INC,0.4317064,4.00E-06,14.528,2,1,0,1,3.530346,2.26,23.4,0
APPLE COMPUTER INC,0.4661651,4.00E-06,14.432,2,1,0,1,3.530346,2.26,23.4,0
APPLE COMPUTER INC,0.5013952,2.00E-06,14.798,2,1,0,1,3.530346,2.26,23.4,0
ARMCO INC,0.3295921,0.265536,10.5,7,0,0.4285714,0.875,2.316815,0.7875,17.3125,0
ARMCO INC,0.3336366,0.177634,9.8,8,0,0.125,0.875,2.316815,0.7875,17.3125,0
ARMCO INC,0.3314882,0.068529,9.2,6,0,0.6666667,0.875,2.316815,0.7875,17.3125,0
ARMCO INC,0.3150555,0.04232,11.5,5,0,0.8,0.875,2.316815,0.7875,17.3125,1
ARMCO INC,0.3187582,0.0714,6.6,3,0,0.3333333,0.875,2.316815,0.7875,17.3125,1
ARMCO INC,0.3253061,0.068943,5.5,2,0,0,0.875,2.316815,0.7875,17.3125,1
ARMCO INC,0.3142032,1.00E-06,5.9,1,0,3,0.875,2.316815,0.7875,17.3125,1
ARMCO INC,0.2584994,0.024972,6,1,0,0,0.875,2.316815,0.7875,17.3125,1
AVERY DENNISON CORP,0.4227918,0.691206,11.715,16,1,0.6875,0.9230769,2.528997,0.9523077,18.88461,0
AVERY DENNISON CORP,0.4947462,0.486113,18.816,14,1,0.7142857,0.9230769,2.528997,0.9523077,18.88461,0
AVERY DENNISON CORP,0.4639105,0.635503,17.095,11,1,0.9090909,0.9230769,2.528997,0.9523077,18.88461,0
AVERY DENNISON CORP,0.4670856,0.422512,16.55,12,1,0.5833333,0.9230769,2.528997,0.9523077,18.88461,0
AVERY DENNISON CORP,0.4592077,0.210147,15.75,11,1,0.9090909,0.9230769,2.528997,0.9523077,18.88461,0
AVERY DENNISON CORP,0.4021497,0.224418,15.4,11,1,1,0.9230769,2.528997,0.9523077,18.88461,0
AVERY DENNISON CORP,0.4324913,0.159063,15.5,9,1,2.111111,0.9230769,2.528997,0.9523077,18.88461,0
AVERY DENNISON CORP,0.4203516,0.08423,15.8,13,1,0,0.9230769,2.528997,0.9523077,18.88461,0
AVERY DENNISON CORP,0.4304536,0.144318,16.2,11,1,0,0.9230769,2.528997,0.9523077,18.88461,0
AVERY DENNISON CORP,0.3970185,0.16664,16.1,10,1,0,0.9230769,2.528997,0.9523077,18.88461,0
BALL CORP,0.4709374,0.755024,7.154,17,1,0.8235294,0.7222222,2.660332,1.027222,19.13889,0
BALL CORP,0.5096332,0.667186,12.514,19,1,0.6315789,0.7222222,2.660332,1.027222,19.13889,0
BALL CORP,0.5664284,0.157401,12.589,8,1,1.625,0.7222222,2.660332,1.027222,19.13889,1
BALL CORP,0.5303568,0.373915,13.954,5,1,2.4,0.7222222,2.660332,1.027222,19.13889,1
BALL CORP,0.4719072,0.31299,12.859,5,1,2,0.7222222,2.660332,1.027222,19.13889,1
BALL CORP,0.416917,0.2273,7.424,4,1,2.75,0.7222222,2.660332,1.027222,19.13889,1
BALL CORP,0.5050402,0.1768,8.081,6,1,0,0.7222222,2.660332,1.027222,19.13889,1
BALL CORP,0.505349,0.1529,10.518,5,1,0,0.7222222,2.660332,1.027222,19.13889,1
BALL CORP,0.4520538,0.12483,12.622,4,1,0,0.7222222,2.660332,1.027222,19.13889,1
BAUSCH & LOMB INC,0.2958034,0.1003,12.5,1,0,0,1,5.052177,0.99,26.5,0
BAUSCH & LOMB INC,0.3084845,0.0897,13,1,0,0,1,5.052177,0.99,26.5,0
BAUSCH & LOMB INC,0.2957712,0.084421,13.7,1,0,0,1,5.052177,0.99,26.5,0
BAUSCH & LOMB INC,0.2624353,0.072404,14.5,1,0,0,1,5.052177,0.99,26.5,0
BAUSCH & LOMB INC,0.2480811,0.051142,15.9,1,0,0,1,5.052177,0.99,26.5,0
BAUSCH & LOMB INC,0.257621,0.033649,14.4,1,0,0,1,5.052177,0.99,26.5,0
BAUSCH & LOMB INC,0.2498261,0.022515,14,1,0,0,1,5.052177,0.99,26.5,0
BECTON DICKINSON & CO,0.6186959,0.068449,18.8,1,0,0,1,2.261539,0.34,19,0
BECTON DICKINSON & CO,0.5840207,0.119106,18.5,3,0,0,1,2.261539,0.34,19,0
BECTON DICKINSON & CO,0.6096238,0.119099,18.6,3,0,0,1,2.261539,0.34,19,0
BECTON DICKINSON & CO,0.5824823,0.112788,19.1,3,0,0,1,2.261539,0.34,19,0
BECTON DICKINSON & CO,0.5318273,0.080437,19,2,0,0,1,2.261539,0.34,19,0
BECTON DICKINSON & CO,0.5230375,0.045439,18.6,2,0,0,1,2.261539,0.34,19,0
BECTON DICKINSON & CO,0.5207126,0.071681,18.1,2,0,0,1,2.261539,0.34,19,0
BECTON DICKINSON & CO,0.4953898,0.03722,17.9,4,0,0,1,2.261539,0.34,19,0
BECTON DICKINSON & CO,0.4451993,0.012605,18.9,3,0,0,1,2.261539,0.34,19,0
BECTON DICKINSON & CO,0.4686616,0.011705,21.7,3,0,0,1,2.261539,0.34,19,0
BETHLEHEM STEEL CORP,0.3295921,3.342801,30.5,12,0,0.5833333,0.9166667,3.140059,0.9441667,19.575,0
BETHLEHEM STEEL CORP,0.3336366,3.032718,29.6,12,0,0.6666667,0.9166667,3.140059,0.9441667,19.575,0
BETHLEHEM STEEL CORP,0.3314882,1.650632,26.4,12,0,0.5833333,0.9166667,3.140059,0.9441667,19.575,0
BETHLEHEM STEEL CORP,0.3150555,1.015485,22.2,12,0,1.083333,0.9166667,3.140059,0.9441667,19.575,1
BETHLEHEM STEEL CORP,0.3187582,0.506602,20.7,9,0,3.111111,0.9166667,3.140059,0.9441667,19.575,1
BETHLEHEM STEEL CORP,0.3253061,0.473535,19.9,9,0,2.222222,0.9166667,3.140059,0.9441667,19.575,1
BETHLEHEM STEEL CORP,0.3142032,0.709429,18.3,9,0,1.222222,0.9166667,3.140059,0.9441667,19.575,1
BETHLEHEM STEEL CORP,0.2902728,1.077487,17.5,23,0,0,0.9166667,3.140059,0.9441667,19.575,1
BETHLEHEM STEEL CORP,0.2584994,0.940197,15.6,22,0,0,0.9166667,3.140059,0.9441667,19.575,1
BETHLEHEM STEEL CORP,0.2944652,1.048225,17,20,0,0,0.9166667,3.140059,0.9441667,19.575,1
BLACK & DECKER CORP,0.4010057,0.464554,38.6,9,1,0.1111111,0.8181818,3.111997,1.324546,21.40909,0
BLACK & DECKER CORP,0.4317064,0.500561,43.4,11,1,0.0909091,0.8181818,3.111997,1.324546,21.40909,0
BLACK & DECKER CORP,0.4661651,0.351525,38.6,9,1,0.1111111,0.8181818,3.111997,1.324546,21.40909,0
BLACK & DECKER CORP,0.5013952,0.348362,38.8,10,1,0.1,0.8181818,3.111997,1.324546,21.40909,1
BLACK & DECKER CORP,0.5022098,0.264451,37.3,9,1,0.1111111,0.8181818,3.111997,1.324546,21.40909,1
BLACK & DECKER CORP,0.5091329,0.238108,35.8,6,1,0.1666667,0.8181818,3.111997,1.324546,21.40909,1
BLACK & DECKER CORP,0.3766557,0.254674,29.3,3,1,0.3333333,0.8181818,3.111997,1.324546,21.40909,1
BLACK & DECKER CORP,0.322005,0.216435,29.2,13,1,0,0.8181818,3.111997,1.324546,21.40909,1
BLACK & DECKER CORP,0.2834762,0.155429,28.6,10,1,0,0.8181818,3.111997,1.324546,21.40909,1
BLACK & DECKER CORP,0.2966833,0.056159,21.8,11,1,0,0.8181818,3.111997,1.324546,21.40909,1
BOEING CO,0.4313625,11.92587,164.5,24,1,0.3333333,0.9545454,2.965567,1.545,21.85,0
BOEING CO,0.427019,13.06426,160.5,23,1,0.2608696,0.9545454,2.965567,1.545,21.85,0
BOEING CO,0.4496784,11.4359,155.7,23,1,0.5652174,0.9545454,2.965567,1.545,21.85,0
BOEING CO,0.4563823,7.606327,142,20,1,0.55,0.9545454,2.965567,1.545,21.85,1
BOEING CO,0.460003,5.203229,123,21,1,0.4285714,0.9545454,2.965567,1.545,21.85,1
BOEING CO,0.4596917,3.902478,115,20,1,0.4,0.9545454,2.965567,1.545,21.85,1
BOEING CO,0.4619746,2.526241,105,17,1,0.6470588,0.9545454,2.965567,1.545,21.85,1
BOEING CO,0.457313,2.568558,143,46,1,0,0.9545454,2.965567,1.545,21.85,1
BOEING CO,0.4438477,2.939523,238,46,1,0,0.9545454,2.965567,1.545,21.85,1
BOEING CO,0.4557282,2.206625,231,45,1,0,0.9545454,2.965567,1.545,21.85,1
BRISTOL MYERS SQUIBB,0.2958034,2.628965,54.1,9,0,0.8888889,0.7142857,3.062153,1.382857,21.01429,0
BRISTOL MYERS SQUIBB,0.3084845,2.436864,52.9,9,0,0.7777778,0.7142857,3.062153,1.382857,21.01429,0
BRISTOL MYERS SQUIBB,0.2957712,1.922297,53.5,8,0,0.875,0.7142857,3.062153,1.382857,21.01429,0
BRISTOL MYERS SQUIBB,0.2624353,1.463637,52.6,8,0,1.625,0.7142857,3.062153,1.382857,21.01429,1
BRISTOL MYERS SQUIBB,0.2480811,1.419187,49.5,8,0,0.5,0.7142857,3.062153,1.382857,21.01429,1
BRISTOL MYERS SQUIBB,0.257621,1.157552,47.7,5,0,1.2,0.7142857,3.062153,1.382857,21.01429,1
BRISTOL MYERS SQUIBB,0.2498261,0.572601,49.14,5,0,2.2,0.7142857,3.062153,1.382857,21.01429,1
BRUNSWICK CORP,0.7133571,1.096376,25.7,24,1,0.2083333,0.8,2.499591,0.7904,18.744,0
BRUNSWICK CORP,0.628463,1.058023,20.5,23,1,0.2173913,0.8,2.499591,0.7904,18.744,0
BRUNSWICK CORP,0.69131,1.039729,19.5,20,1,0.4,0.8,2.499591,0.7904,18.744,0
BRUNSWICK CORP,0.6552648,0.730427,17,14,1,0.3571429,0.8,2.499591,0.7904,18.744,0
BRUNSWICK CORP,0.7211034,0.714819,18,15,1,0.4666667,0.8,2.499591,0.7904,18.744,0
BRUNSWICK CORP,0.7116644,1.056269,20.8,18,1,0.5,0.8,2.499591,0.7904,18.744,0
BRUNSWICK CORP,0.7265199,0.842364,20.9,18,1,0.4444444,0.8,2.499591,0.7904,18.744,0
BRUNSWICK CORP,0.7072997,0.666301,22.8,20,1,0,0.8,2.499591,0.7904,18.744,0
BRUNSWICK CORP,0.8220004,0.615701,25.3,20,1,0,0.8,2.499591,0.7904,18.744,0
BRUNSWICK CORP,0.8085476,0.296775,25.5,10,1,0,0.8,2.499591,0.7904,18.744,0
CAMPBELL SOUP CO,0.3494032,0.03575,55.412,1,1,1,1,2.329059,1.02,17,0
CAMPBELL SOUP CO,0.3722226,0.009355,49.941,1,1,1,1,2.329059,1.02,17,0
CAMPBELL SOUP CO,0.3642035,0.007081,44.934,1,1,1,1,2.329059,1.02,17,0
CAMPBELL SOUP CO,0.3493484,0.015,43.781,1,1,1,1,2.329059,1.02,17,0
CAMPBELL SOUP CO,0.3157603,0.002539,37,1,1,0,1,2.329059,1.02,17,0
CATERPILLAR INC,0.4010057,1.256335,60.409,16,1,0.75,1,3.237054,1.85375,20.75,0
CATERPILLAR INC,0.4317064,0.811032,58.448,14,1,0.5714286,1,3.237054,1.85375,20.75,0
CATERPILLAR INC,0.4661651,0.750277,53.636,13,1,1.153846,1,3.237054,1.85375,20.75,0
CATERPILLAR INC,0.5013952,0.494876,50.749,13,1,1.307692,1,3.237054,1.85375,20.75,1
CATERPILLAR INC,0.5022098,0.715888,51.25,13,1,1.153846,1,3.237054,1.85375,20.75,1
CATERPILLAR INC,0.5091329,0.718852,53.986,13,1,1.769231,1,3.237054,1.85375,20.75,1
CATERPILLAR INC,0.3766557,0.380256,54.352,14,1,1.285714,1,3.237054,1.85375,20.75,1
CATERPILLAR INC,0.322005,0.796476,57.026,27,1,0,1,3.237054,1.85375,20.75,1
CATERPILLAR INC,0.2834762,0.673794,59.863,25,1,0,1,3.237054,1.85375,20.75,1
CATERPILLAR INC,0.2966833,0.513422,65.824,27,1,0,1,3.237054,1.85375,20.75,1
CHEMFIRST INC,0.2958034,0.052405,0.969,3,0,1.666667,1,2.562679,0.9,19.45,0
CHEMFIRST INC,0.3084845,0.02121,1.198,2,0,0.5,1,2.562679,0.9,19.45,0
CHEMFIRST INC,0.2957712,0.029806,1.259,3,0,0.6666667,1,2.562679,0.9,19.45,0
CHEMFIRST INC,0.2624353,0.032901,1.347,3,0,1.333333,1,2.562679,0.9,19.45,1
CHEMFIRST INC,0.2480811,0.025534,1.142,3,0,0.3333333,1,2.562679,0.9,19.45,1
CHEMFIRST INC,0.2380322,0.007157,1.175,7,0,0,1,2.562679,0.9,19.45,1
CHEMFIRST INC,0.2177674,0.011329,1.087,8,0,0,1,2.562679,0.9,19.45,1
COMPAQ COMPUTER CORP,0.4010057,0.00025,9.5,1,1,0,1,2.676835,0.68,20.4,0
COMPAQ COMPUTER CORP,0.4317064,1.00E-06,11.4,1,1,0,1,2.676835,0.68,20.4,0
COMPAQ COMPUTER CORP,0.4661651,1.00E-06,10,1,1,0,1,2.676835,0.68,20.4,0
COMPAQ COMPUTER CORP,0.5013952,1.00E-06,9.5,1,1,0,1,2.676835,0.68,20.4,0
COMPAQ COMPUTER CORP,0.5022098,1.00E-06,10.541,1,1,0,1,2.676835,0.68,20.4,0
COMPAQ COMPUTER CORP,0.5091329,1.00E-06,14.372,1,1,0,1,2.676835,0.68,20.4,0
COMPAQ COMPUTER CORP,0.3766557,1.00E-06,17.055,1,1,0,1,2.676835,0.68,20.4,0
CORNING INC,0.3295921,2.354913,27.5,14,0,0.2142857,0.3846154,3.406984,1.062308,20.73846,0
CORNING INC,0.3336366,1.703463,28.6,13,0,0.1538462,0.3846154,3.406984,1.062308,20.73846,0
CORNING INC,0.3314882,1.296032,30.7,11,0,0.5454546,0.3846154,3.406984,1.062308,20.73846,0
CORNING INC,0.3150555,1.711513,31.1,11,0,0.8181818,0.3846154,3.406984,1.062308,20.73846,1
CORNING INC,0.3187582,1.489015,39.2,9,0,0.4444444,0.3846154,3.406984,1.062308,20.73846,1
CORNING INC,0.3253061,1.284587,43,10,0,0.1,0.3846154,3.406984,1.062308,20.73846,1
CORNING INC,0.3142032,1.24073,41,12,0,0.1666667,0.3846154,3.406984,1.062308,20.73846,1
CORNING INC,0.2902728,1.042442,20,13,0,0,0.3846154,3.406984,1.062308,20.73846,1
